Captura,Entrada,AG
1,0,0
2,0,0.296951730127904
3,0,0.707283866703221
4,0,1.13405336002552
5,0,1.56305788356212
6,0.235,1.99216742123847
7,0.469,2.42101358109379
8,0.704,2.84948529447583
9,1.056,3.27750939485606
10,1.525,3.70501866437719
11,1.877,4.13194723215941
12,2.346,4.55822996286979
13,2.698,4.98380242697494
14,2.933,5.40860095528921
15,3.402,5.83256270518102
16,3.871,6.25562572777021
17,4.575,6.67772903448838
18,5.044,7.09881266269087
19,5.513,7.5188177401985
20,5.983,7.93768654867242
21,6.804,8.3553625857265
22,7.273,8.77179062567962
23,7.859,9.1869167788472
24,8.446,9.60068854926897
25,8.915,10.0130548907668
26,9.854,10.4239662612252
27,10.675,10.8333746749826
28,11.144,11.2412337532228
29,11.848,11.6474987722518
30,12.552,12.0521267095434
31,13.021,12.4550762874399
32,14.076,12.8563080143872
33,14.78,13.2557842235906
34,15.367,13.6534691089707
35,16.071,14.049328758305
36,17.126,14.4433311834388
37,17.83,14.8354463474509
38,18.417,15.225646188663
39,19.238,15.6139046413831
40,19.942,16.0001976532755
41,20.645,16.3845031992569
42,21.349,16.7668012918183
43,22.053,17.1470739876792
44,23.109,17.5253053906872
45,23.93,17.9014816508785
46,24.634,18.2755909596241
47,25.924,18.6476235407919
48,26.745,19.0175716378641
49,27.566,19.3854294969538
50,28.387,19.7511933456772
51,29.912,20.1148613678431
52,30.264,20.476433673934
53,31.085,20.8359122673589
54,31.789,21.1933010064725
55,32.258,21.5486055623612
56,32.845,21.9018333724113
57,33.079,22.2529935896827
58,33.197,22.6020970281238
59,33.314,22.9491561036756
60,33.314,23.2941847713227
61,33.314,23.6371984581618
62,33.314,23.9782139925702
63,33.079,24.3172495295676
64,32.962,24.6543244724777
65,32.728,24.9894593910052
66,32.61,25.3226759358597
67,32.141,25.653996750064
68,31.906,25.9834453771
69,31.672,26.3110461660548
70,31.32,26.6368241739379
71,31.085,26.9608050653565
72,30.851,27.283015009738
73,30.499,27.6034805763065
74,30.147,27.9222286270223
75,29.912,28.2392862077061
76,29.678,28.5546804375762
77,28.857,28.868438397435
78,28.857,29.1805870167461
79,28.622,29.491152959853
80,28.387,29.8001625115923
81,28.153,30.1076414625619
82,27.918,30.4136149943068
83,27.801,30.7181075646906
84,27.566,31.0211427937224
85,27.449,31.3227433501094
86,27.332,31.6229308388107
87,27.214,31.9217256898633
88,27.097,32.2191470487556
89,27.214,32.5152126686182
90,27.214,32.8099388045039
91,27.332,33.1033401100238
92,27.449,33.3954295366027
93,27.566,33.6862182356153
94,27.801,33.9757154636564
95,27.918,34.2639284911956
96,28.153,34.5508625148582
97,28.622,34.8365205735695
98,28.857,35.1209034687887
99,29.795,35.4040096890534
100,30.381,35.6858353390447
101,30.968,35.9663740733731
102,31.672,36.2456170352766
103,32.376,36.5235528004103
104,33.314,36.8001673258959
105,34.018,37.0754439047882
106,34.722,37.3493631261022
107,35.66,37.6219028405331
108,36.481,37.8930381319879
109,37.068,38.1627412950338
110,37.772,38.4309818183543
111,38.475,38.6977263742927
112,39.062,38.9629388145435
113,39.883,39.2265801720439
114,40.704,39.4886086690976
115,41.173,39.7489797317528
116,41.76,40.0076460104381
117,42.112,40.2645574068481
118,42.464,40.5196611070536
119,42.698,40.7729016207992
120,42.815,41.0242208269326
121,42.815,41.2735580248997
122,42.815,41.5208499922229
123,42.815,41.7660310478658
124,42.815,42.0090331213748
125,42.815,42.2497858276733
126,42.933,42.488216547372
127,42.933,42.7242505124451
128,42.933,42.9578108971092
129,43.05,43.1888189137305
130,43.05,43.4171939135736
131,43.167,43.6428534921928
132,43.285,43.8657135992582
133,43.285,44.0856886525963
134,43.402,44.3026916562149
135,43.519,44.5166343220759
136,43.637,44.7274271953655
137,43.989,44.9349797830086
138,44.34,45.139200685162
139,44.575,45.3399977294184
140,45.044,45.5372781074409
141,45.396,45.7309485137499
142,45.865,45.9209152863711
143,46.452,46.107084549055
144,47.156,46.2893623547715
145,48.094,46.4676548301812
146,48.798,46.6418683207815
147,49.502,46.8119095364272
148,50.206,46.9776856969187
149,51.261,47.1391046773578
150,51.965,47.2960751529643
151,52.669,47.4485067430537
152,53.725,47.5963101538748
153,54.546,47.7393973200093
154,55.25,47.8776815440389
155,55.953,48.0110776341904
156,56.657,48.1395020396712
157,57.361,48.2628729834158
158,57.947,48.381110591967
159,58.769,48.4941370222262
160,59.707,48.6018765848076
161,60.411,48.7042558637471
162,60.997,48.8012038323177
163,61.701,48.8926519647172
164,62.288,48.9785343433997
165,62.757,49.0587877618365
166,63.109,49.1333518224977
167,63.578,49.2021690298611
168,63.578,49.2651848782629
169,63.695,49.3223479344199
170,63.695,49.3736099144615
171,63.813,49.418925755326
172,63.813,49.4582536803853
173,63.93,49.4915552591779
174,63.93,49.5187954611431
175,64.047,49.5399427032608
176,64.047,49.5549688915194
177,64.047,49.5638494561441
178,64.047,49.566563380536
179,64.047,49.5630932238834
180,63.93,49.5534251374242
181,63.813,49.5375488743509
182,63.695,49.5154577933643
183,63.343,49.4871488558975
184,62.991,49.4526226170457
185,62.757,49.4118832102512
186,62.405,49.3649383258069
187,62.053,49.3117991832573
188,61.818,49.2524804977881
189,61.467,49.1870004407087
190,61.115,49.1153805941466
191,60.88,49.0376459000848
192,60.293,48.9538246038857
193,59.942,48.8639481924566
194,59.824,48.7680513272257
195,58.886,48.6661717721058
196,58.769,48.5583503166362
197,58.299,48.4446306945019
198,57.83,48.3250594976405
199,57.596,48.1996860861536
200,57.244,48.0685624942525
201,56.892,47.9317433324707
202,56.423,47.7892856863878
203,56.071,47.6412490121124
204,55.719,47.48769502878
205,55.367,47.3286876083265
206,55.015,47.1642926628018
207,54.311,46.9945780294925
208,53.959,46.8196133541267
209,53.607,46.639469972435
210,53.021,46.4542207903436
211,52.552,46.2639401630786
212,52.2,46.0687037734564
213,51.613,45.8685885096411
214,51.261,45.6636723426408
215,50.909,45.4540342038207
216,50.44,45.2397538627009
217,49.971,45.0209118053107
218,49.619,44.7975891133596
219,49.15,44.5698673444871
220,48.681,44.3378284138444
221,48.211,44.101554477255
222,47.859,43.8611278161969
223,46.921,43.6166307248391
224,46.452,43.3681453993591
225,45.865,43.1157538297593
226,45.279,42.8595376943906
227,44.81,42.5995782573829
228,43.871,42.3359562691721
229,43.285,42.0687518703028
230,42.815,41.7980444986753
231,42.112,41.5239128003939
232,41.408,41.2464345443641
233,40.821,40.9656865407715
234,39.766,40.6817445635654
235,39.062,40.3946832770594
236,38.475,40.1045761667439
237,37.889,39.8114954743996
238,36.833,39.515512137583
239,36.247,39.2166957335455
240,35.777,38.9151144276347
241,35.308,38.6108349262124
242,34.839,38.3039224341131
243,34.37,37.9944406166544
244,34.135,37.6824515661958
245,33.901,37.3680157732351
246,33.783,37.0511921020138
247,33.783,36.7320377705981
248,33.666,36.410608335383
249,33.666,36.0869576799643
250,33.549,35.7611380083047
251,33.431,35.4331998421159
252,33.431,35.1031920223655
253,33.431,34.7711617148086
254,33.197,34.4371544194352
255,33.079,34.1012139837154
256,33.079,33.763382619518
257,32.962,33.4237009235663
258,32.728,33.0822079012936
259,32.728,32.7389409939491
260,32.61,32.3939361088015
261,32.376,32.0472276522827
262,32.376,31.698848565907
263,32.258,31.3488303647989
264,32.024,30.9972031786586
265,31.906,30.6439957949904
266,31.672,30.2892357044192
267,31.672,29.932949147916
268,31.437,29.5751611657547
269,31.203,29.215895648022
270,30.968,28.8551753865013
271,30.851,28.4930221277555
272,30.616,28.1294566272325
273,30.381,27.7644987042236
274,30.147,27.3981672975046
275,29.912,27.0304805214975
276,29.795,26.661455722792
277,29.795,26.2911095368739
278,28.857,25.9194579449132
279,28.857,25.5465163304702
280,28.739,25.1722995359861
281,28.387,24.7968219189317
282,28.27,24.4200974074964
283,27.918,24.0421395557045
284,27.801,23.6629615978588
285,27.332,23.2825765022118
286,27.097,22.900997023776
287,26.745,22.5182357561873
288,26.276,22.1343051825343
289,26.041,21.7492177250708
290,25.572,21.3629857937138
291,25.337,20.9756218332248
292,24.986,20.5871383689443
293,24.634,20.1975480509234
294,24.047,19.8068636962539
295,23.695,19.4150983293419
296,23.343,19.0222652198043
297,22.874,18.6283779175831
298,22.64,18.2334502847775
299,22.17,17.8374965235939
300,21.467,17.440531199706
301,21.115,17.042569260241
302,20.528,16.6436260455642
303,19.824,16.2437172940971
304,19.238,15.842859139626
305,18.769,15.4410681010594
306,18.065,15.0383610655075
307,17.478,14.6347552670843
308,16.774,14.2302682661516
309,15.836,13.8249179370274
310,15.132,13.418722476506
311,14.546,13.0117004506922
312,13.607,12.6038709029846
313,12.903,12.1952535502691
314,12.434,11.7858690953783
315,11.73,11.375739678657
316,10.557,10.9648894764518
317,9.971,10.5533454258784
318,8.915,10.1411380108757
319,8.329,9.72830198458098
320,7.625,9.31487683236333
321,7.038,8.90090670956172
322,6.452,8.48643953613485
323,5.983,8.07152492091845
324,4.927,7.65621064706685
325,4.458,7.24053759951427
326,4.106,6.82453326440906
327,3.402,6.40820426763888
328,2.933,5.9915288050853
329,2.581,5.57445018233875
330,2.112,5.15687293519043
331,1.642,4.73866304684599
332,1.291,4.31965353318091
333,1.056,3.89965609674444
334,0.704,3.47847868137232
335,0.352,3.05594768267662
336,0.118,2.6319323444347
337,0,2.20636690244189
338,0.118,1.77925796150426
339,0,1.35061232822853
340,0,0.919862096906105
341,0,0.481903555384898
342,0,0
